,bench_prior,wins,scores,fidelity,zone,benchmark,prior
123,B-3_bad,1.0,-0.013,6.0,6_12,B-3,bad
124,B-4_bad,-1.0,0.016,6.0,6_12,B-4,bad
125,B-5_bad,-1.0,0.029,6.0,6_12,B-5,bad
126,B-6_bad,-1.0,0.011,6.0,6_12,B-6,bad
127,B-7_bad,-1.0,0.016,6.0,6_12,B-7,bad
128,B-8_bad,-1.0,0.144,6.0,6_12,B-8,bad
129,B-9_bad,-1.0,0.007,6.0,6_12,B-9,bad
130,B-10_bad,-1.0,0.003,6.0,6_12,B-10,bad
131,B-11_bad,0.0,0.0,6.0,6_12,B-11,bad
132,B-6_at25,1.0,-0.009,6.0,6_12,B-6,at25
133,B-8_at25,1.0,-0.087,6.0,6_12,B-8,at25
134,B-11_at25,1.0,-0.072,6.0,6_12,B-11,at25
135,B-1_at25,0.0,0.0,6.0,6_12,B-1,at25
136,B-0_at25,0.0,0.0,6.0,6_12,B-0,at25
137,B-9_at25,0.0,0.0,6.0,6_12,B-9,at25
138,B-5_at25,1.0,-0.044,6.0,6_12,B-5,at25
139,B-10_at25,1.0,-0.008,6.0,6_12,B-10,at25
140,B-3_at25,1.0,-0.013,6.0,6_12,B-3,at25
141,B-4_at25,1.0,-0.013,6.0,6_12,B-4,at25
142,B-7_at25,1.0,-0.012,6.0,6_12,B-7,at25
143,B-2_at25,0.0,0.0,6.0,6_12,B-2,at25
144,B-0_bad,0.0,0.0,7.0,6_12,B-0,bad
145,B-1_bad,-1.0,0.006,7.0,6_12,B-1,bad
146,B-2_bad,0.0,0.0,7.0,6_12,B-2,bad
147,B-3_bad,1.0,-0.012,7.0,6_12,B-3,bad
148,B-4_bad,0.0,0.0,7.0,6_12,B-4,bad
149,B-5_bad,-1.0,0.02,7.0,6_12,B-5,bad
150,B-6_bad,0.0,0.0,7.0,6_12,B-6,bad
151,B-7_bad,-1.0,0.016,7.0,6_12,B-7,bad
152,B-8_bad,-1.0,0.083,7.0,6_12,B-8,bad
153,B-9_bad,0.0,0.0,7.0,6_12,B-9,bad
154,B-10_bad,0.0,0.0,7.0,6_12,B-10,bad
155,B-11_bad,0.0,0.0,7.0,6_12,B-11,bad
156,B-6_at25,1.0,-0.011,7.0,6_12,B-6,at25
157,B-8_at25,1.0,-0.083,7.0,6_12,B-8,at25
158,B-11_at25,1.0,-0.075,7.0,6_12,B-11,at25
159,B-1_at25,0.0,0.0,7.0,6_12,B-1,at25
160,B-0_at25,0.0,0.0,7.0,6_12,B-0,at25
161,B-9_at25,0.0,0.0,7.0,6_12,B-9,at25
162,B-5_at25,1.0,-0.043,7.0,6_12,B-5,at25
163,B-10_at25,1.0,-0.008,7.0,6_12,B-10,at25
164,B-3_at25,1.0,-0.013,7.0,6_12,B-3,at25
165,B-4_at25,1.0,-0.013,7.0,6_12,B-4,at25
166,B-7_at25,1.0,-0.011,7.0,6_12,B-7,at25
167,B-2_at25,0.0,0.0,7.0,6_12,B-2,at25
168,B-0_bad,0.0,0.0,8.0,6_12,B-0,bad
169,B-1_bad,-1.0,0.007,8.0,6_12,B-1,bad
170,B-2_bad,-1.0,0.032,8.0,6_12,B-2,bad
171,B-3_bad,0.0,0.0,8.0,6_12,B-3,bad
172,B-4_bad,0.0,0.0,8.0,6_12,B-4,bad
173,B-5_bad,0.0,0.0,8.0,6_12,B-5,bad
174,B-6_bad,0.0,0.0,8.0,6_12,B-6,bad
175,B-7_bad,-1.0,0.019,8.0,6_12,B-7,bad
176,B-8_bad,-1.0,0.082,8.0,6_12,B-8,bad
177,B-9_bad,0.0,0.0,8.0,6_12,B-9,bad
178,B-10_bad,0.0,0.0,8.0,6_12,B-10,bad
179,B-11_bad,0.0,0.0,8.0,6_12,B-11,bad
180,B-6_at25,1.0,-0.006,8.0,6_12,B-6,at25
181,B-8_at25,1.0,-0.075,8.0,6_12,B-8,at25
182,B-11_at25,1.0,-0.064,8.0,6_12,B-11,at25
183,B-1_at25,0.0,0.0,8.0,6_12,B-1,at25
184,B-0_at25,0.0,0.0,8.0,6_12,B-0,at25
185,B-9_at25,0.0,0.0,8.0,6_12,B-9,at25
186,B-5_at25,1.0,-0.044,8.0,6_12,B-5,at25
187,B-10_at25,1.0,-0.006,8.0,6_12,B-10,at25
188,B-3_at25,0.0,0.0,8.0,6_12,B-3,at25
189,B-4_at25,1.0,-0.013,8.0,6_12,B-4,at25
190,B-7_at25,0.0,0.0,8.0,6_12,B-7,at25
191,B-2_at25,0.0,0.0,8.0,6_12,B-2,at25
192,B-0_bad,0.0,0.0,9.0,6_12,B-0,bad
193,B-1_bad,-1.0,0.006,9.0,6_12,B-1,bad
194,B-2_bad,0.0,0.0,9.0,6_12,B-2,bad
195,B-3_bad,1.0,-0.011,9.0,6_12,B-3,bad
196,B-4_bad,0.0,0.0,9.0,6_12,B-4,bad
197,B-5_bad,0.0,0.0,9.0,6_12,B-5,bad
198,B-6_bad,0.0,0.0,9.0,6_12,B-6,bad
199,B-7_bad,0.0,0.0,9.0,6_12,B-7,bad
200,B-8_bad,-1.0,0.043,9.0,6_12,B-8,bad
201,B-9_bad,0.0,0.0,9.0,6_12,B-9,bad
202,B-10_bad,0.0,0.0,9.0,6_12,B-10,bad
203,B-11_bad,0.0,0.0,9.0,6_12,B-11,bad
204,B-6_at25,1.0,-0.008,9.0,6_12,B-6,at25
205,B-8_at25,1.0,-0.06,9.0,6_12,B-8,at25
206,B-11_at25,1.0,-0.062,9.0,6_12,B-11,at25
207,B-1_at25,0.0,0.0,9.0,6_12,B-1,at25
208,B-0_at25,0.0,0.0,9.0,6_12,B-0,at25
209,B-9_at25,0.0,0.0,9.0,6_12,B-9,at25
210,B-5_at25,1.0,-0.043,9.0,6_12,B-5,at25
211,B-10_at25,1.0,-0.006,9.0,6_12,B-10,at25
212,B-3_at25,1.0,-0.017,9.0,6_12,B-3,at25
213,B-4_at25,1.0,-0.016,9.0,6_12,B-4,at25
214,B-7_at25,1.0,-0.012,9.0,6_12,B-7,at25
215,B-2_at25,0.0,0.0,9.0,6_12,B-2,at25
216,B-0_bad,0.0,0.0,10.0,6_12,B-0,bad
217,B-1_bad,0.0,0.0,10.0,6_12,B-1,bad
218,B-2_bad,0.0,0.0,10.0,6_12,B-2,bad
219,B-3_bad,1.0,-0.012,10.0,6_12,B-3,bad
220,B-4_bad,0.0,0.0,10.0,6_12,B-4,bad
221,B-5_bad,0.0,0.0,10.0,6_12,B-5,bad
222,B-6_bad,0.0,0.0,10.0,6_12,B-6,bad
223,B-7_bad,0.0,0.0,10.0,6_12,B-7,bad
224,B-8_bad,0.0,0.0,10.0,6_12,B-8,bad
225,B-9_bad,0.0,0.0,10.0,6_12,B-9,bad
226,B-10_bad,0.0,0.0,10.0,6_12,B-10,bad
227,B-11_bad,0.0,0.0,10.0,6_12,B-11,bad
228,B-6_at25,1.0,-0.007,10.0,6_12,B-6,at25
229,B-8_at25,1.0,-0.052,10.0,6_12,B-8,at25
230,B-11_at25,1.0,-0.059,10.0,6_12,B-11,at25
231,B-1_at25,0.0,0.0,10.0,6_12,B-1,at25
232,B-0_at25,0.0,0.0,10.0,6_12,B-0,at25
233,B-9_at25,0.0,0.0,10.0,6_12,B-9,at25
234,B-5_at25,1.0,-0.03,10.0,6_12,B-5,at25
235,B-10_at25,1.0,-0.005,10.0,6_12,B-10,at25
236,B-3_at25,1.0,-0.018,10.0,6_12,B-3,at25
237,B-4_at25,1.0,-0.017,10.0,6_12,B-4,at25
238,B-7_at25,1.0,-0.012,10.0,6_12,B-7,at25
239,B-2_at25,0.0,0.0,10.0,6_12,B-2,at25
240,B-0_bad,0.0,0.0,11.0,6_12,B-0,bad
241,B-1_bad,0.0,0.0,11.0,6_12,B-1,bad
242,B-2_bad,0.0,0.0,11.0,6_12,B-2,bad
243,B-3_bad,1.0,-0.014,11.0,6_12,B-3,bad
244,B-4_bad,0.0,0.0,11.0,6_12,B-4,bad
245,B-5_bad,0.0,0.0,11.0,6_12,B-5,bad
246,B-6_bad,0.0,0.0,11.0,6_12,B-6,bad
247,B-7_bad,0.0,0.0,11.0,6_12,B-7,bad
248,B-8_bad,0.0,0.0,11.0,6_12,B-8,bad
249,B-9_bad,0.0,0.0,11.0,6_12,B-9,bad
250,B-10_bad,0.0,0.0,11.0,6_12,B-10,bad
